Model	Organization	Publication date	Reference	Parameters	Training compute (FLOP)	Training compute notes	Training dataset	Approach	Confidence	Abstract	Epochs	Benchmark data	Model accessibility	Country (of organization)	Last modified	Training cloud compute vendor	Training data center	Archived links	Batch size	Batch size notes	Organization categorization
Qwen2.5-1.5B	Alibaba	2024-09-19	Qwen2.5-LLM: Extending the boundary of LLMs	1540000000	1.66E+23	Training dataset size was 18 trillion  6ND = 6 * 1.54B billion parameters * 18 trillion tokens = 1.6632e+23	Unspecified unreleased		Confident	In the past three months since Qwen2’s release, numerous developers have built new models on the Qwen2 language models, providing us with valuable feedback. During this period, we have focused on creating smarter and more knowledgeable language models. Today, we are excited to introduce the latest addition to the Qwen family: Qwen2.5. We are announcing what might be the largest opensource release in history! Let’s get the party started!	1		Open weights (unrestricted)	China	2025-08-01 16:23:34+00:00						Industry
Qwen2.5-14B	Alibaba	2024-09-19	Qwen2.5: A Party of Foundation Models!	14700000000	1.59E+24	Training dataset size was 18 trillion  6ND = 6 * 14.7 billion parameters * 18 trillion tokens = 1.59e24	Unspecified unreleased		Confident	In the past three months since Qwen2’s release, numerous developers have built new models on the Qwen2 language models, providing us with valuable feedback. During this period, we have focused on creating smarter and more knowledgeable language models. Today, we are excited to introduce the latest addition to the Qwen family: Qwen2.5. We are announcing what might be the largest opensource release in history! Let’s get the party started!  The Qwen2.5-7B model surpasses its predecessors and counterparts in numerous benchmarks, despite having fewer non-embedding parameters. It demonstrates significant improvements across various tasks, achieving 74.2 on general benchmarks like MMLU, 49.8 on math challenges such as MATH, and 57.9 on coding tasks like HumanEval.	1		Open weights (unrestricted)	China	2025-08-01 16:23:34+00:00						Industry
Qwen2-72B	Alibaba	2024-06-07	Hello Qwen2	72710000000	3.02E+24	72 billion params, 7 trillion tokens  6 * 72 billion * 7 trillion ~= 3.02e24	Unspecified unreleased	Self-supervised learning	Confident	After months of efforts, we are pleased to announce the evolution from Qwen1.5 to Qwen2. This time, we bring to you: - Pretrained and instruction-tuned models of 5 sizes, including Qwen2-0.5B, Qwen2-1.5B, Qwen2-7B, Qwen2-57B-A14B, and Qwen2-72B; - Having been trained on data in 27 additional languages besides English and Chinese; - State-of-the-art performance in a large number of benchmark evaluations; - Significantly improved performance in coding and mathematics; - Extended context length support up to 128K tokens with Qwen2-7B-Instruct and Qwen2-72B-Instruct.  (Technical report to follow)			Open weights (unrestricted)	China	2025-08-11 14:22:24+00:00		There is no paper to reference, no information about hardware used for training found in media.				Industry
Qwen2-7B	Alibaba	2024-06-07	Hello Qwen2	7000000000	2.94E+23	7 billion params, 7 trillion tokens  6 FLOP * 7 billion * 7 trillion ~= 2.94e23 FLOP	Unspecified unreleased	Self-supervised learning	Confident	This report introduces the Qwen2 series, the latest addition to our large language models and large multimodal models. We release a comprehensive suite of foundational and instruction-tuned language models, encompassing a parameter range from 0.5 to 72 billion, featuring dense models and a Mixture-of-Experts model. Qwen2 surpasses most prior open-weight models, including its predecessor Qwen1.5, and exhibits competitive performance relative to proprietary models across diverse benchmarks on language understanding, generation, multilingual proficiency, coding, mathematics, and reasoning. The flagship model, Qwen2-72B, showcases remarkable performance: 84.2 on MMLU, 37.9 on GPQA, 64.6 on HumanEval, 89.5 on GSM8K, and 82.4 on BBH as a base language model. The instruction-tuned variant, Qwen2-72B-Instruct, attains 9.1 on MT-Bench, 48.1 on Arena-Hard, and 35.7 on LiveCodeBench. Moreover, Qwen2 demonstrates robust multilingual capabilities, proficient in approximately 30 languages, spanning English, Chinese, Spanish, French, German, Arabic, Russian, Korean, Japanese, Thai, Vietnamese, and more, underscoring its versatility and global reach. To foster community innovation and accessibility, we have made the Qwen2 model weights openly available on Hugging Face1 and ModelScope2, and the supplementary materials including example code on GitHub3. These platforms also include resources for quantization, fine-tuning, and deployment, facilitating a wide range of applications and research endeavors.			Open weights (unrestricted)	China	2025-08-09 00:08:29+00:00		There is no paper to reference, no information about hardware used for training found in media.				Industry
Qwen2-57B-A14B	Alibaba	2024-06-07	Hello Qwen2	57000000000	3.78E+23	"For MoE models, 57B-A14B denotes that the model has 57B parameters in total and for each token 14B parameters are active" (page 5)  C ~= 6 FLOP * 14e9 * 4.5e12 = 3.78e23	Unspecified unreleased	Self-supervised learning	Confident	This report introduces the Qwen2 series, the latest addition to our large language models and large multimodal models. We release a comprehensive suite of foundational and instruction-tuned language models, encompassing a parameter range from 0.5 to 72 billion, featuring dense models and a Mixture-of-Experts model. Qwen2 surpasses most prior open-weight models, including its predecessor Qwen1.5, and exhibits competitive performance relative to proprietary models across diverse benchmarks on language understanding, generation, multilingual proficiency, coding, mathematics, and reasoning. The flagship model, Qwen2-72B, showcases remarkable performance: 84.2 on MMLU, 37.9 on GPQA, 64.6 on HumanEval, 89.5 on GSM8K, and 82.4 on BBH as a base language model. The instruction-tuned variant, Qwen2-72B-Instruct, attains 9.1 on MT-Bench, 48.1 on Arena-Hard, and 35.7 on LiveCodeBench. Moreover, Qwen2 demonstrates robust multilingual capabilities, proficient in approximately 30 languages, spanning English, Chinese, Spanish, French, German, Arabic, Russian, Korean, Japanese, Thai, Vietnamese, and more, underscoring its versatility and global reach. To foster community innovation and accessibility, we have made the Qwen2 model weights openly available on Hugging Face1 and ModelScope2, and the supplementary materials including example code on GitHub3. These platforms also include resources for quantization, fine-tuning, and deployment, facilitating a wide range of applications and research endeavors.			Open weights (unrestricted)	China	2025-08-09 00:08:54+00:00						Industry
Qwen2-1.5B	Alibaba	2024-06-07	Hello Qwen2	1500000000	6.30E+22	6 FLOP / parameter / token * 1.5 * 10^9  parameters * 7 * 10^12 tokens = 6.3e+22 FLOP	Unspecified unreleased		Confident	This report introduces the Qwen2 series, the latest addition to our large language models and large multimodal models. We release a comprehensive suite of foundational and instruction-tuned language models, encompassing a parameter range from 0.5 to 72 billion, featuring dense models and a Mixture-of-Experts model. Qwen2 surpasses most prior open-weight models, including its predecessor Qwen1.5, and exhibits competitive performance relative to proprietary models across diverse benchmarks on language understanding, generation, multilingual proficiency, coding, mathematics, and reasoning. The flagship model, Qwen2-72B, showcases remarkable performance: 84.2 on MMLU, 37.9 on GPQA, 64.6 on HumanEval, 89.5 on GSM8K, and 82.4 on BBH as a base language model. The instruction-tuned variant, Qwen2-72B-Instruct, attains 9.1 on MT-Bench, 48.1 on Arena-Hard, and 35.7 on LiveCodeBench. Moreover, Qwen2 demonstrates robust multilingual capabilities, proficient in approximately 30 languages, spanning English, Chinese, Spanish, French, German, Arabic, Russian, Korean, Japanese, Thai, Vietnamese, and more, underscoring its versatility and global reach. To foster community innovation and accessibility, we have made the Qwen2 model weights openly available on Hugging Face1 and ModelScope2, and the supplementary materials including example code on GitHub3. These platforms also include resources for quantization, fine-tuning, and deployment, facilitating a wide range of applications and research endeavors.			Open weights (unrestricted)	China	2025-08-22 07:54:09+00:00						Industry
Qwen-72B	Alibaba	2023-11-30		72000000000	1.30E+24	72 billion params, 3 trillion tokens 72b * 3T * 6 = 1.3e24			Confident	Qwen-72B is the 72B-parameter version of the large language model series, Qwen (abbr. Tongyi Qianwen), proposed by Alibaba Cloud. Qwen-72B is a Transformer-based large language model, which is pretrained on a large volume of data, including web texts, books, codes, etc. Additionally, based on the pretrained Qwen-72B, we release Qwen-72B-Chat, a large-model-based AI assistant, which is trained with alignment techniques.			Open weights (restricted use)	China	2025-09-09 16:14:30+00:00		The paper does not mention any hardware, GPUs or any information regarding the hardware used.		4000000	Table 1 https://arxiv.org/abs/2309.16609 (this is uncertain because this table only lists sizes up to 14B. 72B was released after the paper)	Industry
Sonar-Reasoning-Pro	Perplexity	2025-03-25	Premier reasoning offering powered by DeepSeek R1.				Unspecified unreleased		Unknown	Advanced CoT reasoning  Enhanced chain-of-thought reasoning, plus real-time internet search and citations  US-based  Sonar Reasoning Pro is uncensored and hosted in US datacenters  Data privacy  No training on customer data, just like all Sonar products  In-depth answers with 2x more citations than Sonar Reasoning on average  Advanced information retrieval from multiple web searches  Self-serve API access  Get started immediately			API access	United States of America	2025-08-11 14:56:58+00:00						Industry
Claude-Sonnet-4	Anthropic	2025-05-22	Hybrid reasoning model with superior intelligence for high-volume use cases, and 200K context window			Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.	Unspecified unreleased		Unknown	Claude Sonnet 4 can understand nuanced instructions and context, recognize and correct its own mistakes, and create sophisticated analysis and insights from complex data. Combined with superior coding, vision, and writing skills, you can use Claude Sonnet 4 for a variety of use cases.  Claude Sonnet 4 can produce near-instant responses or extended, step-by-step thinking that is made visible to the user. API users also have fine-grained control over how long the model thinks for.			API access	United States of America	2025-08-11 14:56:58+00:00						Industry
GPT-4	OpenAI	2023-03-15	GPT-4 Technical Report	1800000000000	2.10E+25	90% CI: 8.2E+24 to 4.4E+25  NOTE: this is a rough estimate based on public information, much less information than most other systems in the database.  Calculation and confidence intervals here: https://colab.research.google.com/drive/1O99z9b1I5O66bT78r9ScslE_nOj5irN9?usp=sharing	Unspecified unreleased	Self-supervised learning	Likely	We report the development of GPT-4, a large-scale, multimodal model which can accept image and text inputs and produce text outputs. While less capable than humans in many real-world scenarios, GPT-4 exhibits human-level performance on various professional and academic benchmarks, including passing a simulated bar exam with a score around the top 10% of test takers. GPT-4 is a Transformer-based model pre-trained to predict the next token in a document. The post-training alignment process results in improved performance on measures of factuality and adherence to desired behavior. A core component of this project was developing infrastructure and optimization methods that behave predictably across a wide range of scales. This allowed us to accurately predict some aspects of GPT-4's performance based on models trained with no more than 1/1,000th the compute of GPT-4.	2		API access	United States of America	2025-08-25 21:26:26+00:00						Industry
gpt-3.5-turbo-0125	OpenAI	2022-11-30	A fast, inexpensive model for simple tasks	20000000000			Unspecified unreleased		Speculative	GPT-3.5 Turbo models can understand and generate natural language or code and have been optimized for chat using the Chat Completions API but work well for non-chat tasks as well. As of July 2024, use gpt-4o-mini in place of GPT-3.5 Turbo, as it is cheaper, more capable, multimodal, and just as fast. GPT-3.5 Turbo is still available for use in the API.			API access	United States of America	2025-08-15 20:38:25+00:00	Azure AI					Industry
GPT-4o	OpenAI	2024-05-13	Hello GPT-4o		3.81E+25	Training compute estimated from benchmark scores.	Unspecified unreleased		Speculative	We’re announcing GPT-4o, our new flagship model that can reason across audio, vision, and text in real time.  GPT-4o (“o” for “omni”) is a step towards much more natural human-computer interaction—it accepts as input any combination of text, audio, image, and video and generates any combination of text, audio, and image outputs. It can respond to audio inputs in as little as 232 milliseconds, with an average of 320 milliseconds, which is similar to human response time(opens in a new window) in a conversation. It matches GPT-4 Turbo performance on text in English and code, with significant improvement on text in non-English languages, while also being much faster and 50% cheaper in the API. GPT-4o is especially better at vision and audio understanding compared to existing models.			API access	United States of America	2025-08-19 17:52:10+00:00						Industry
Mistral-7B-instruct	Mistral AI	2023-10-10	Mistral 7B	7000000000			Unspecified unreleased		Confident	We introduce Mistral 7B v0.1, a 7-billion-parameter language model engineered for superior performance and efficiency. Mistral 7B outperforms Llama 2 13B across all evaluated benchmarks, and Llama 1 34B in reasoning, mathematics, and code generation. Our model leverages grouped-query attention (GQA) for faster inference, coupled with sliding window attention (SWA) to effectively handle sequences of arbitrary length with a reduced inference cost. We also provide a model fine-tuned to follow instructions, Mistral 7B -- Instruct, that surpasses the Llama 2 13B -- Chat model both on human and automated benchmarks. Our models are released under the Apache 2.0 license.			Open weights (unrestricted)	France	2025-08-11 14:22:24+00:00						Industry
Gemma-7B-it	Google	2024-02-24		8540000000	3.07E+23	6ND = 6*6000000000000*8540000000=3.0744e+23	Unspecified unreleased		Confident	This is Gemma 1.1 7B (IT), an update over the original instruction-tuned Gemma release.  Gemma 1.1 was trained using a novel RLHF method, leading to substantial gains on quality, coding capabilities, factuality, instruction following and multi-turn conversation quality. We also fixed a bug in multi-turn conversations, and made sure that model responses don't always start with "Sure,".  We believe this release represents an improvement for most use cases, but we encourage users to test in their particular applications. The previous model will continue to be available in the same repo. We appreciate the enthusiastic adoption of Gemma, and we continue to welcome all feedback from the community.			Open weights (restricted use)	United States of America,United Kingdom of Great Britain and Northern Ireland,Switzerland,Germany	2025-08-05 19:36:12+00:00						Industry
OpenChat-7B	Tsinghua University	2023-11-01		7000000000					Confident	OpenChat is an innovative library of open-source language models, fine-tuned with C-RLFT - a strategy inspired by offline reinforcement learning. Our models learn from mixed-quality data without preference labels, delivering exceptional performance on par with ChatGPT, even with a 7B model. Despite our simple approach, we are committed to developing a high-performance, commercially viable, open-source large language model, and we continue to make significant strides toward this vision.			Open weights (unrestricted)	China	2024-09-05 18:08:31+00:00						Academia
Claude-3-Haiku:beta	Anthropic	2024-03-04	The Claude 3 Model Family: Opus, Sonnet, Haiku				Unspecified unreleased		Unknown	We introduce Claude 3, a new family of large multimodal models – Claude 3 Opus, our most capable offering, Claude 3 Sonnet, which provides a combination of skills and speed, and Claude 3 Haiku, our fastest and least expensive model. All new models have vision capabilities that enable them to process and analyze image data. The Claude 3 family demonstrates strong performance across benchmark evaluations and sets a new standard on measures of reasoning, math, and coding. Claude 3 Opus achieves state-of-the-art results on evaluations like GPQA [1], MMLU [2], MMMU [3] and many more. Claude 3 Haiku performs as well or better than Claude 2 [4] on most pure-text tasks, while Sonnet and Opus significantly outperform it. Additionally, these models exhibit improved fluency in non-English languages, making them more versatile for a global audience. In this report, we provide an in-depth analysis of our evaluations, focusing on core capabilities, safety, societal impacts, and the catastrophic risk assessments we committed to in our Responsible Scaling Policy [5]. 			API access	United States of America	2025-08-11 14:52:15+00:00						Industry
palm-2-chat-bison-32k	Google	2023-05-10	PaLM 2 models						Unknown	PaLM 2 is a family of language models, optimized for ease of use on key developer use cases. The PaLM family of models includes variations trained for text and chat generation as well as text embeddings. This guide provides information about each variation to help you decide which is the best fit for your use case.			API access	United States of America,United Kingdom of Great Britain and Northern Ireland,Switzerland,Germany	2025-08-06 18:36:06+00:00						Industry
Gemini-2.0-Flash-Lite-001	Google DeepMind	2024-02-05	Gemini 2.0 Flash-Lite Model Card						Unknown	Description: Gemini 2.0 Flash-Lite is a member of the Gemini 2.0 series of models, a suite of highly-capable, natively multimodal models designed to power a new era of agentic systems. Gemini 2.0 Flash-Lite is Google’s most cost-efficient model, striking a balance between efficiency and quality targeting low-cost workflows. Inputs: Text strings (e.g., a question, a prompt, a document(s) to be summarized), images, audio, and video files, with a 1,048,576 token context window. Outputs: Text, with an 8,192 token output. Architecture: The Gemini 2.0 series builds upon the sparse Mixture-of-Experts (MoE) Transformer architecture (Clark et al., 2020; Fedus et al., 2021; Lepikhin et al., 2020; Riquelme et al., 2021; Shazeer et al., 2017; Zoph et al., 2022) used in Gemini 1.5. Key enhancements in Gemini 2.0 include refined architectural design and novel optimization methods, leading to substantial improvements in training stability and computational efficiency. Each model within the 2.0 family, including Gemini 2.0 Flash-Lite, is carefully designed and calibrated to achieve an optimal balance between quality and performance for their specific downstream applications.  			API access	United States of America,United Kingdom of Great Britain and Northern Ireland,Multinational	2025-08-11 14:56:58+00:00						Industry
phi-3-mini-128k-instruct	Microsoft	2024-04-23	Phi-3 Technical Report: A Highly Capable Language Model Locally on Your Phone	3800000000	7.52E+22	counting operations: 6×3.3×10^12 tokens ×3.8×10^9 parameters ≈7.524×10^22 FLOPS hardware estimate: 7 days ×24 hours / day×3600 sec / hour *989,000,000,000,000 FLOP/s*512 GPUs*0.3 [assumed utilization]=9.187540992×10^22	Phi-3 Dataset		Confident	We introduce phi-3-mini, a 3.8 billion parameter language model trained on 3.3 trillion tokens, whose overall performance, as measured by both academic benchmarks and internal testing, rivals that of models such as Mixtral 8x7B and GPT-3.5 (e.g., phi-3-mini achieves 69% on MMLU and 8.38 on MT-bench), despite being small enough to be deployed on a phone. The innovation lies entirely in our dataset for training, a scaled-up version of the one used for phi-2, composed of heavily filtered web data and synthetic data. The model is also further aligned for robustness, safety, and chat format. We also provide some initial parameter-scaling results with a 7B and 14B models trained for 4.8T tokens, called phi-3-small and phi-3-medium, both significantly more capable than phi-3-mini (e.g., respectively 75% and 78% on MMLU, and 8.7 and 8.9 on MT-bench).			Open weights (unrestricted)	United States of America,Multinational,India,Belgium	2025-08-05 19:36:15+00:00						Industry
Llama-3-70B-instruct:nitro	Meta AI	2024-04-18	Introducing Meta Llama 3: The most capable openly available LLM to date	70000000000	7.86E+24	Arithmetic calculation: 6 * 15T tokens * 70B parameters = 6.3e24  GPU calculation: https://huggingface.co/meta-llama/Meta-Llama-3-70B indicates training took 6.4M GPU-hours We also know their larger scale training runs for 405B were getting between 0.38-0.41 MFU. Presumably the 70B model gets at least 0.43 utilization (405B has to be split across two nodes, while 70B should fit on one). 990 TFLOPS per GPU * 6.4 million GPU hours * 3600s * 0.43 = 9.808e24  Geometric mean: sqrt(6.3e24 * 9.808e24) = 7.861e24	Llama 3 dataset		Confident				Open weights (restricted use)	United States of America	2025-08-11 14:22:24+00:00						Industry
llama-3-8b-instruct:nitro	Meta AI	2024-04-18	Introducing Meta Llama 3: The most capable openly available LLM to date	8000000000	7.20E+23	Counting operations 15000000000000 tokens*8000000000.00 parameters*6 FLOP / token / parameter = 7.2×10^23 FLOP  GPU calculation 400 TFLOPS per GPU * 1.3M GPU hours * 3600s=1.872×10^24  (it is not confident that 400 TFLOPs applies to the Llama 3-8B training run)	Llama 3 dataset		Confident	Today, we’re introducing Meta Llama 3, the next generation of our state-of-the-art open source large language model. Llama 3 models will soon be available on AWS, Databricks, Google Cloud, Hugging Face, Kaggle, IBM WatsonX, Microsoft Azure, NVIDIA NIM, and Snowflake, and with support from hardware platforms offered by AMD, AWS, Dell, Intel, NVIDIA, and Qualcomm. We’re dedicated to developing Llama 3 in a responsible way, and we’re offering various resources to help others use it responsibly as well. This includes introducing new trust and safety tools with Llama Guard 2, Code Shield, and CyberSec Eval 2. In the coming months, we expect to introduce new capabilities, longer context windows, additional model sizes, and enhanced performance, and we’ll share the Llama 3 research paper. Meta AI, built with Llama 3 technology, is now one of the world’s leading AI assistants that can boost your intelligence and lighten your load—helping you learn, get things done, create content, and connect to make the most out of every moment. You can try Meta AI here.			Open weights (restricted use)	United States of America	2025-08-11 14:22:24+00:00						Industry
mixtral-8x7b-instruct:nitro	Mistral AI	2023-10-10	Mistral 7B	7000000000			Unspecified unreleased		Confident	We introduce Mistral 7B v0.1, a 7-billion-parameter language model engineered for superior performance and efficiency. Mistral 7B outperforms Llama 2 13B across all evaluated benchmarks, and Llama 1 34B in reasoning, mathematics, and code generation. Our model leverages grouped-query attention (GQA) for faster inference, coupled with sliding window attention (SWA) to effectively handle sequences of arbitrary length with a reduced inference cost. We also provide a model fine-tuned to follow instructions, Mistral 7B -- Instruct, that surpasses the Llama 2 13B -- Chat model both on human and automated benchmarks. Our models are released under the Apache 2.0 license.			Open weights (unrestricted)	France	2025-08-11 14:22:24+00:00						Industry
