binomial_name,Anthropic claude-sonnet-4,Google gemini-2.5-flash-lite,OpenAI gpt-4o,DeepSeek deepseek-chat-v3-0324,OpenAI gpt-oss-20b,OpenAI gpt-oss-120b,xAI grok-3-mini,OpenAI gpt-4.1-nano,OpenAI gpt-5,OpenAI gpt-4,OpenAI gpt-5-nano
aquaspirillum soli,limited,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited
aquibium oceanicum,limited,limited,limited,limited,NA,NA,NA,NA,NA,NA,NA
aquincola tertiaricarbonis,limited,limited,moderate,limited,limited,moderate,moderate,moderate,moderate,moderate,limited
aquitalea denitrificans,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,NA,limited
aquitalea magnusonii,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,limited
aquitalea pelogenes,limited,limited,limited,limited,limited,limited,limited,NA,NA,limited,
arachnia propionica,limited,limited,limited,moderate,limited,moderate,limited,moderate,moderate,limited,limited
arcanobacterium buesumense,limited,limited,limited,limited,NA,NA,limited,NA,limited,limited,NA
arcanobacterium canis,limited,moderate,limited,limited,limited,moderate,limited,limited,limited,NA,limited
arcanobacterium hippocoleae,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,limited
arcanobacterium phocae,limited,limited,limited,moderate,moderate,moderate,moderate,moderate,moderate,limited,limited
arcanobacterium pluranimalium,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,limited,limited
arcanobacterium wilhelmae,limited,limited,limited,limited,,limited,limited,limited,limited,NA,NA
arenivirga flava,limited,limited,limited,limited,limited,NA,NA,NA,limited,limited,limited
arhodomonas aquaeolei,limited,limited,moderate,moderate,moderate,NA,moderate,moderate,moderate,limited,limited
arhodomonas recens,limited,limited,limited,limited,NA,NA,moderate,limited,limited,NA,limited
arsenicicoccus bolidensis,limited,limited,limited,limited,limited,NA,limited,NA,limited,limited,NA
arsenicicoccus dermatophilus,limited,limited,limited,NA,limited,limited,NA,NA,limited,NA,NA
arthrobacter bambusae,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,limited
arthrobacter cavernae,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,NA
arthrobacter globiformis,extensive,extensive,moderate,moderate,extensive,extensive,extensive,extensive,extensive,moderate,extensive
arthrobacter gyeryongensis,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA
arthrobacter ipis,limited,limited,limited,limited,limited,NA,NA,limited,limited,limited,NA
arthrobacter methylotrophus,limited,limited,limited,limited,limited,limited,moderate,moderate,NA,NA,NA
arthrobacter pascens,limited,moderate,limited,moderate,limited,moderate,moderate,moderate,moderate,limited,limited
arthrobacter polaris,limited,limited,limited,moderate,moderate,limited,moderate,moderate,limited,limited,limited
arthrobacter psychrochitiniphilus,limited,limited,limited,limited,limited,,moderate,limited,limited,limited,NA
arthrobacter psychrolactophilus,limited,limited,limited,moderate,limited,limited,moderate,moderate,limited,limited,NA
arthrobacter russicus,limited,moderate,limited,limited,limited,limited,moderate,moderate,limited,NA,limited
arthrobacter ulcerisalmonis,limited,limited,limited,limited,limited,limited,NA,limited,NA,limited,NA
asaia siamensis,limited,moderate,moderate,moderate,limited,moderate,moderate,moderate,limited,limited,limited
asticcacaulis benevestitus,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,limited
asticcacaulis taihuensis,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited
atlantibacter hermannii,moderate,limited,limited,limited,limited,moderate,moderate,extensive,moderate,NA,limited
atlantibacter subterranea,limited,limited,limited,limited,NA,NA,NA,NA,NA,NA,limited
avibacterium avium,moderate,limited,limited,moderate,extensive,limited,moderate,moderate,limited,NA,limited
avibacterium gallinarum,limited,moderate,limited,moderate,moderate,limited,moderate,moderate,moderate,limited,moderate
avibacterium paragallinarum,moderate,moderate,moderate,moderate,extensive,extensive,moderate,extensive,extensive,moderate,extensive
avibacterium volantium,NA,limited,NA,moderate,limited,NA,NA,limited,NA,NA,NA
azohydromonas lata,limited,limited,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,limited
azorhizobium oxalatiphilum,limited,limited,limited,limited,limited,limited,NA,moderate,limited,NA,NA
azospirillum brasilense,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,moderate,extensive
azospirillum cavernae,limited,limited,limited,limited,limited,limited,limited,NA,limited,NA,limited
azospirillum doebereinerae,moderate,moderate,moderate,limited,moderate,moderate,moderate,moderate,moderate,NA,NA
azospirillum fermentarium,limited,limited,limited,NA,NA,NA,NA,moderate,NA,NA,NA
azospirillum formosense,limited,moderate,limited,limited,limited,NA,moderate,moderate,limited,limited,NA
azospirillum griseum,limited,moderate,limited,limited,limited,NA,NA,moderate,NA,limited,
azospirillum humicireducens,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,NA
azospirillum lipoferum,extensive,extensive,moderate,moderate,extensive,extensive,extensive,extensive,extensive,moderate,moderate
azospirillum melinis,limited,limited,limited,moderate,limited,moderate,moderate,moderate,limited,NA,limited
azospirillum palustre,limited,limited,limited,moderate,moderate,limited,moderate,moderate,limited,NA,limited
azospirillum picis,limited,limited,limited,limited,limited,limited,limited,limited,NA,limited,NA
azospirillum rugosum,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,NA
azospirillum thiophilum,limited,limited,limited,limited,limited,limited,limited,moderate,limited,NA,limited
bacillus aerophilus,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,NA
bacillus albus,limited,limited,NA,NA,limited,limited,limited,limited,NA,NA,NA
bacillus amyloliquefaciens,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive
bacillus anthracis,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive
bacillus arachidis,limited,limited,limited,NA,limited,limited,limited,limited,limited,NA,NA
bacillus atrophaeus,extensive,extensive,moderate,moderate,extensive,extensive,extensive,extensive,extensive,moderate,extensive
bacillus australimaris,limited,limited,limited,limited,limited,limited,limited,moderate,limited,NA,limited
bacillus benzoevorans,limited,limited,limited,moderate,limited,limited,limited,moderate,moderate,limited,limited
bacillus cabrialesii,limited,NA,limited,limited,limited,limited,limited,moderate,limited,limited,NA
bacillus canaveralius,limited,limited,limited,limited,limited,limited,NA,NA,NA,limited,NA
bacillus dafuensis,limited,limited,limited,limited,limited,limited,NA,limited,limited,limited,NA
bacillus ectoiniformans,limited,limited,limited,limited,limited,NA,limited,limited,NA,limited,NA
bacillus fungorum,limited,limited,NA,limited,limited,limited,moderate,moderate,NA,limited,moderate
bacillus gaemokensis,limited,limited,limited,limited,limited,limited,moderate,limited,limited,limited,NA
bacillus gobiensis,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited
bacillus halotolerans,limited,limited,moderate,moderate,moderate,moderate,moderate,moderate,moderate,limited,limited
bacillus haynesii,limited,limited,limited,limited,limited,moderate,limited,moderate,limited,limited,NA
bacillus hominis,limited,limited,NA,NA,limited,limited,NA,limited,NA,NA,NA
bacillus infantis,limited,limited,limited,limited,limited,NA,limited,NA,limited,NA,NA
bacillus isabeliae,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,NA
bacillus luti,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA,NA
bacillus manliponensis,limited,limited,limited,limited,limited,NA,NA,NA,limited,limited,NA
bacillus manusensis,limited,NA,limited,limited,limited,NA,NA,NA,NA,limited,NA
bacillus massiliigabonensis,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA
bacillus mobilis,limited,limited,limited,limited,limited,limited,limited,NA,NA,limited,NA
bacillus mojavensis,moderate,moderate,moderate,moderate,moderate,extensive,moderate,extensive,extensive,moderate,moderate
bacillus mycoides,extensive,extensive,moderate,moderate,extensive,extensive,moderate,extensive,extensive,moderate,moderate
bacillus nakamurai,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,NA,NA
bacillus nitratireducens,limited,limited,limited,limited,limited,moderate,moderate,limited,NA,limited,NA
bacillus pacificus,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA
bacillus pakistanensis,limited,NA,limited,limited,limited,,limited,limited,limited,limited,NA
bacillus paramobilis,limited,limited,limited,limited,limited,NA,moderate,limited,NA,NA,NA
bacillus paramycoides,moderate,limited,limited,moderate,limited,moderate,moderate,extensive,moderate,limited,limited
bacillus paranthracis,moderate,NA,limited,moderate,limited,limited,NA,extensive,moderate,NA,NA
bacillus proteolyticus,limited,limited,limited,moderate,,moderate,moderate,moderate,NA,NA,NA
bacillus rhizoplanae,limited,NA,limited,limited,limited,limited,limited,moderate,limited,limited,NA
bacillus safensis,moderate,moderate,moderate,moderate,moderate,extensive,moderate,extensive,extensive,moderate,moderate
bacillus sanguinis,limited,limited,limited,NA,limited,limited,NA,NA,NA,NA,NA
bacillus smithii,limited,NA,limited,moderate,limited,moderate,moderate,extensive,moderate,NA,NA
bacillus sonorensis,limited,moderate,moderate,moderate,limited,moderate,moderate,moderate,moderate,limited,limited
bacillus spizizenii,moderate,extensive,moderate,moderate,moderate,moderate,extensive,extensive,extensive,NA,NA
bacillus stercoris,limited,limited,limited,moderate,limited,limited,moderate,NA,NA,NA,limited
bacillus subtilis,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive
bacillus swezeyi,limited,limited,limited,limited,limited,limited,limited,limited,NA,limited,NA
bacillus tequilensis,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,limited,limited
bacillus thuringiensis,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive
bacillus toyonensis,moderate,limited,moderate,moderate,limited,extensive,moderate,extensive,moderate,moderate,moderate
bacillus tropicus,limited,limited,limited,moderate,limited,limited,limited,moderate,moderate,NA,NA
bacillus vallismortis,moderate,moderate,moderate,moderate,moderate,moderate,moderate,extensive,extensive,limited,moderate
bacillus velezensis,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,moderate,extensive
bacillus wiedmannii,moderate,limited,moderate,moderate,limited,moderate,moderate,extensive,moderate,limited,moderate
bacillus xiamenensis,limited,limited,limited,moderate,limited,limited,moderate,limited,moderate,limited,NA
bacillus zhangzhouensis,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA
bacteroides caccae,moderate,moderate,moderate,moderate,extensive,extensive,extensive,extensive,extensive,moderate,limited
bacteroides caecimuris,limited,limited,limited,limited,,moderate,limited,moderate,limited,NA,NA
bacteroides cellulosilyticus,limited,moderate,moderate,moderate,limited,extensive,extensive,extensive,moderate,NA,moderate
bacteroides facilis,limited,limited,limited,moderate,limited,limited,NA,moderate,NA,NA,NA
bacteroides gallinarum,limited,limited,limited,moderate,moderate,moderate,moderate,moderate,NA,NA,limited
bacteroides koreensis,limited,moderate,limited,limited,limited,limited,moderate,moderate,limited,limited,limited
bacteroides kribbi,limited,limited,limited,NA,limited,NA,NA,moderate,NA,NA,NA
bacteroides luhongzhouii,limited,limited,limited,limited,limited,limited,NA,NA,limited,NA,limited
bacteroides ovatus,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive
bacteroides thetaiotaomicron,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive
bacteroides uniformis,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,moderate,extensive
bacteroides xylanisolvens,moderate,moderate,moderate,moderate,extensive,moderate,extensive,extensive,moderate,moderate,moderate
bacteroides zhangwenhongii,limited,limited,limited,NA,limited,limited,NA,NA,limited,limited,NA
bartonella acomydis,limited,limited,limited,limited,NA,limited,limited,limited,limited,limited,NA
bartonella ancashensis,limited,limited,limited,limited,limited,moderate,limited,moderate,limited,limited,limited
bartonella apis,limited,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,limited
bartonella bacilliformis,moderate,extensive,moderate,moderate,extensive,extensive,extensive,extensive,extensive,moderate,moderate
bartonella callosciuri,limited,limited,limited,moderate,limited,limited,moderate,limited,limited,NA,limited
bartonella capreoli,limited,moderate,limited,limited,limited,limited,moderate,moderate,moderate,NA,limited
bartonella chomelii,limited,limited,limited,limited,limited,moderate,limited,moderate,moderate,limited,limited
bartonella coopersplainsensis,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA
bartonella elizabethae,moderate,moderate,moderate,moderate,extensive,extensive,moderate,moderate,moderate,limited,moderate
