binomial_name	species_level	trait_motility	trait_gram_staining	trait_aerophilicity	trait_extreme_environment_tolerance	trait_biofilm_formation	trait_animal_pathogenicity	trait_biosafety_level	trait_health_association	trait_host_association	trait_plant_pathogenicity	trait_spore_formation	trait_cell_shape	agg_tier	agg_mean	agg_n_ordinal	agg_na_frac	agg_max	agg_min	agg_mode
Plesiomonas shigelloides	extensive	moderate	moderate	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	limited	moderate	moderate	0.7500	12	0.0000	moderate	limited	moderate
Staphylococcus lugdunensis	extensive	limited	moderate	moderate	moderate	moderate	limited	moderate	moderate	moderate	NA	limited	moderate	moderate	0.7273	11	0.0833	moderate	limited	moderate
Nitrosomonas europaea	extensive	moderate	moderate	extensive	moderate	moderate	limited	limited	limited	limited	limited	limited	moderate	moderate	0.5833	12	0.0000	extensive	limited	limited
Mycoplasma mycoides	extensive	limited	limited	moderate	moderate	limited	extensive	moderate	limited	extensive	limited	limited	extensive	moderate	0.7500	12	0.0000	extensive	limited	limited
Bacteroides ovatus	extensive	limited	moderate	moderate	limited	moderate	limited	moderate	moderate	moderate	NA	limited	moderate	moderate	0.6364	11	0.0833	moderate	limited	moderate
Flavobacterium columnare	extensive	moderate	moderate	moderate	moderate	moderate	extensive	moderate	limited	moderate	limited	limited	moderate	moderate	0.8333	12	0.0000	extensive	limited	moderate
Pseudomonas alcaligenes	extensive	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	limited	limited	limited	moderate	moderate	0.5833	12	0.0000	moderate	limited	moderate
Photorhabdus luminescens	extensive	moderate	extensive	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	limited	moderate	moderate	0.8333	12	0.0000	extensive	limited	moderate
Corynebacterium pseudotuberculosis	extensive	limited	moderate	moderate	moderate	moderate	extensive	moderate	limited	moderate	limited	limited	moderate	moderate	0.7500	12	0.0000	extensive	limited	moderate
Photobacterium phosphoreum	extensive	moderate	moderate	extensive	moderate	moderate	limited	moderate	limited	limited	NA	limited	moderate	moderate	0.7273	11	0.0833	extensive	limited	moderate
Bacillus mycoides	extensive	moderate	extensive	moderate	moderate	limited	limited	limited	limited	limited	limited	moderate	extensive	moderate	0.6667	12	0.0000	extensive	limited	limited
Streptomyces venezuelae	extensive	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	limited	limited	moderate	moderate	moderate	0.6667	12	0.0000	moderate	limited	moderate
Corynebacterium pseudodiphtheriticum	extensive	moderate	moderate	moderate	moderate	moderate	moderate	moderate	moderate	moderate	limited	limited	moderate	moderate	0.8333	12	0.0000	moderate	limited	moderate
Rickettsia conorii	extensive	moderate	moderate	moderate	moderate	moderate	extensive	moderate	limited	moderate	limited	NA	moderate	moderate	0.9091	11	0.0833	extensive	limited	moderate
Methanosarcina barkeri	extensive	moderate	moderate	moderate	moderate	moderate	NA	moderate	limited	limited	limited	limited	moderate	moderate	0.6364	11	0.0833	moderate	limited	moderate
Bartonella quintana	extensive	moderate	moderate	moderate	moderate	moderate	moderate	moderate	moderate	extensive	limited	NA	moderate	moderate	1.0000	11	0.0833	extensive	limited	moderate
Streptomyces clavuligerus	extensive	limited	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	moderate	limited	0.4167	12	0.0000	moderate	limited	limited
Gluconobacter oxydans	extensive	moderate	moderate	extensive	moderate	moderate	limited	moderate	limited	limited	limited	limited	moderate	moderate	0.6667	12	0.0000	extensive	limited	moderate
Clostridium pasteurianum	extensive	moderate	moderate	moderate	moderate	limited	limited	limited	limited	NA	limited	moderate	moderate	moderate	0.5455	11	0.0833	moderate	limited	moderate
Clostridium septicum	extensive	moderate	extensive	moderate	moderate	limited	extensive	moderate	moderate	extensive	limited	moderate	moderate	moderate	1.0833	12	0.0000	extensive	limited	moderate
Corynebacterium minutissimum	extensive	limited	moderate	moderate	moderate	moderate	limited	moderate	moderate	moderate	NA	limited	moderate	moderate	0.7273	11	0.0833	moderate	limited	moderate
Staphylococcus warneri	extensive	limited	extensive	moderate	moderate	moderate	limited	moderate	moderate	limited	limited	limited	moderate	moderate	0.6667	12	0.0000	extensive	limited	moderate
Aeromonas caviae	extensive	moderate	moderate	moderate	moderate	moderate	moderate	moderate	moderate	moderate	limited	limited	moderate	moderate	0.8333	12	0.0000	moderate	limited	moderate
Enterococcus durans	extensive	limited	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.2500	12	0.0000	moderate	limited	limited
Histophilus somni	extensive	moderate	moderate	moderate	moderate	moderate	extensive	moderate	moderate	extensive	NA	limited	moderate	moderate	1.0909	11	0.0833	extensive	limited	moderate
Streptococcus intermedius	extensive	limited	extensive	moderate	limited	moderate	moderate	moderate	moderate	moderate	limited	limited	moderate	moderate	0.7500	12	0.0000	extensive	limited	moderate
Limosilactobacillus fermentum	extensive	moderate	extensive	moderate	moderate	moderate	limited	moderate	extensive	moderate	limited	limited	moderate	moderate	0.9167	12	0.0000	extensive	limited	moderate
Staphylococcus capitis	extensive	limited	moderate	moderate	moderate	moderate	limited	moderate	limited	moderate	limited	limited	moderate	moderate	0.5833	12	0.0000	moderate	limited	moderate
Bacteroides uniformis	extensive	moderate	moderate	moderate	limited	moderate	limited	limited	moderate	moderate	limited	limited	moderate	moderate	0.5833	12	0.0000	moderate	limited	moderate
Weissella cibaria	extensive	moderate	moderate	moderate	limited	moderate	limited	limited	moderate	moderate	limited	limited	moderate	moderate	0.5833	12	0.0000	moderate	limited	moderate
Bacillus atrophaeus	extensive	moderate	extensive	moderate	extensive	moderate	limited	moderate	limited	limited	limited	extensive	extensive	moderate	1.0000	12	0.0000	extensive	limited	moderate
Brevundimonas diminuta	extensive	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	limited	limited	limited	moderate	moderate	0.5833	12	0.0000	moderate	limited	moderate
Corynebacterium jeikeium	extensive	limited	moderate	moderate	moderate	moderate	limited	moderate	limited	moderate	NA	limited	moderate	moderate	0.6364	11	0.0833	moderate	limited	moderate
Lysinibacillus sphaericus	extensive	moderate	moderate	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	moderate	moderate	moderate	0.8333	12	0.0000	moderate	limited	moderate
Streptococcus canis	extensive	limited	moderate	moderate	limited	moderate	moderate	limited	limited	moderate	limited	limited	moderate	moderate	0.5000	12	0.0000	moderate	limited	limited
Clostridium novyi	extensive	moderate	moderate	moderate	moderate	limited	moderate	moderate	limited	moderate	limited	moderate	moderate	moderate	0.7500	12	0.0000	moderate	limited	moderate
Mesorhizobium loti	extensive	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	moderate	limited	limited	moderate	moderate	0.6667	12	0.0000	moderate	limited	moderate
Parabacteroides distasonis	extensive	moderate	moderate	moderate	limited	moderate	moderate	moderate	moderate	moderate	limited	limited	moderate	moderate	0.7500	12	0.0000	moderate	limited	moderate
Bartonella bacilliformis	extensive	moderate	moderate	moderate	moderate	limited	limited	moderate	limited	moderate	NA	NA	moderate	moderate	0.7000	10	0.1667	moderate	limited	moderate
Comamonas testosteroni	extensive	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	limited	limited	limited	moderate	moderate	0.5833	12	0.0000	moderate	limited	moderate
Herbaspirillum seropedicae	extensive	moderate	moderate	extensive	moderate	moderate	limited	limited	limited	moderate	limited	limited	moderate	moderate	0.6667	12	0.0000	extensive	limited	moderate
Pseudomonas savastanoi	extensive	moderate	moderate	moderate	moderate	moderate	limited	limited	limited	moderate	extensive	limited	moderate	moderate	0.7500	12	0.0000	extensive	limited	moderate
Pseudomonas mendocina	extensive	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	limited	limited	limited	moderate	moderate	0.5833	12	0.0000	moderate	limited	moderate
Prevotella melaninogenica	extensive	limited	extensive	extensive	moderate	moderate	limited	moderate	moderate	moderate	limited	limited	moderate	moderate	0.8333	12	0.0000	extensive	limited	moderate
Rhodococcus rhodochrous	extensive	limited	moderate	moderate	moderate	moderate	limited	moderate	limited	limited	limited	limited	moderate	moderate	0.5000	12	0.0000	moderate	limited	limited
Flavobacterium psychrophilum	extensive	moderate	moderate	moderate	moderate	moderate	extensive	moderate	limited	moderate	limited	limited	moderate	moderate	0.8333	12	0.0000	extensive	limited	moderate
Burkholderia multivorans	extensive	moderate	moderate	moderate	moderate	moderate	moderate	moderate	limited	limited	limited	limited	moderate	moderate	0.6667	12	0.0000	moderate	limited	moderate
Eggerthella lenta	extensive	moderate	extensive	moderate	moderate	moderate	moderate	moderate	extensive	moderate	limited	limited	moderate	moderate	1.0000	12	0.0000	extensive	limited	moderate
Saccharopolyspora erythraea	extensive	limited	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	limited	limited	limited	0.1667	12	0.0000	moderate	limited	limited
Staphylococcus carnosus	extensive	limited	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.2500	12	0.0000	moderate	limited	limited
Bdellovibrio bacteriovorus	extensive	extensive	moderate	extensive	moderate	moderate	limited	moderate	moderate	extensive	limited	limited	extensive	moderate	1.0833	12	0.0000	extensive	limited	moderate
Burkholderia gladioli	extensive	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	moderate	moderate	limited	moderate	moderate	0.7500	12	0.0000	moderate	limited	moderate
Vibrio splendidus	moderate	moderate	moderate	moderate	moderate	moderate	limited	limited	limited	moderate	limited	NA	moderate	moderate	0.6364	11	0.0833	moderate	limited	moderate
Aliivibrio fischeri	extensive	extensive	moderate	extensive	moderate	moderate	limited	limited	limited	moderate	limited	limited	moderate	moderate	0.7500	12	0.0000	extensive	limited	moderate
Ralstonia pickettii	extensive	moderate	moderate	extensive	moderate	moderate	limited	moderate	limited	limited	limited	limited	moderate	moderate	0.6667	12	0.0000	extensive	limited	moderate
Enterococcus gallinarum	extensive	moderate	moderate	moderate	limited	moderate	limited	moderate	moderate	moderate	limited	limited	moderate	moderate	0.6667	12	0.0000	moderate	limited	moderate
Streptococcus gallolyticus	extensive	limited	extensive	moderate	limited	moderate	moderate	moderate	moderate	moderate	limited	limited	moderate	moderate	0.7500	12	0.0000	extensive	limited	moderate
Rhodococcus opacus	extensive	limited	moderate	moderate	moderate	limited	NA	limited	limited	limited	limited	limited	moderate	limited	0.3636	11	0.0833	moderate	limited	limited
Ruegeria pomeroyi	extensive	moderate	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	NA	moderate	moderate	0.5455	11	0.0833	moderate	limited	moderate
Azospirillum lipoferum	extensive	moderate	moderate	extensive	moderate	moderate	limited	limited	limited	moderate	limited	limited	moderate	moderate	0.6667	12	0.0000	extensive	limited	moderate
Klebsiella variicola	extensive	moderate	moderate	moderate	moderate	moderate	moderate	moderate	moderate	moderate	limited	limited	moderate	moderate	0.8333	12	0.0000	moderate	limited	moderate
Bacillus safensis	extensive	limited	moderate	moderate	moderate	limited	limited	moderate	limited	NA	limited	limited	moderate	limited	0.4545	11	0.0833	moderate	limited	limited
Helicobacter hepaticus	extensive	moderate	moderate	moderate	moderate	moderate	moderate	moderate	moderate	moderate	limited	limited	moderate	moderate	0.8333	12	0.0000	moderate	limited	moderate
Neisseria sicca	extensive	limited	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.2500	12	0.0000	moderate	limited	limited
Aeromonas sobria	extensive	moderate	moderate	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	limited	moderate	moderate	0.7500	12	0.0000	moderate	limited	moderate
Pantoea ananatis	extensive	moderate	moderate	moderate	moderate	moderate	limited	limited	limited	moderate	extensive	limited	moderate	moderate	0.7500	12	0.0000	extensive	limited	moderate
Streptococcus constellatus	extensive	limited	extensive	moderate	limited	moderate	moderate	moderate	moderate	moderate	NA	limited	moderate	moderate	0.8182	11	0.0833	extensive	limited	moderate
Pseudomonas fragi	moderate	moderate	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	moderate	moderate	0.5000	12	0.0000	moderate	limited	moderate
Sinorhizobium fredii	extensive	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	moderate	limited	limited	moderate	moderate	0.6667	12	0.0000	moderate	limited	moderate
Mycolicibacterium smegmatis	extensive	extensive	moderate	extensive	moderate	moderate	limited	moderate	moderate	limited	limited	limited	extensive	moderate	0.9167	12	0.0000	extensive	limited	moderate
Brachyspira hyodysenteriae	extensive	moderate	moderate	extensive	moderate	moderate	extensive	moderate	limited	moderate	limited	limited	moderate	moderate	0.9167	12	0.0000	extensive	limited	moderate
Enterococcus casseliflavus	extensive	moderate	moderate	moderate	moderate	moderate	limited	moderate	moderate	moderate	limited	limited	moderate	moderate	0.7500	12	0.0000	moderate	limited	moderate
Alicyclobacillus acidoterrestris	extensive	moderate	extensive	moderate	moderate	moderate	limited	moderate	limited	limited	limited	moderate	moderate	moderate	0.7500	12	0.0000	extensive	limited	moderate
Nocardia farcinica	extensive	moderate	moderate	moderate	moderate	moderate	moderate	moderate	limited	limited	limited	limited	moderate	moderate	0.6667	12	0.0000	moderate	limited	moderate
Burkholderia glumae	extensive	moderate	moderate	moderate	moderate	moderate	limited	limited	limited	moderate	extensive	limited	moderate	moderate	0.7500	12	0.0000	extensive	limited	moderate
Brevibacterium linens	extensive	moderate	extensive	extensive	moderate	moderate	limited	moderate	moderate	limited	limited	limited	moderate	moderate	0.8333	12	0.0000	extensive	limited	moderate
Campylobacter rectus	moderate	moderate	limited	moderate	limited	limited	limited	limited	limited	moderate	NA	NA	moderate	limited	0.4000	10	0.1667	moderate	limited	limited
Rhodococcus jostii	extensive	limited	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	moderate	limited	0.4167	12	0.0000	moderate	limited	limited
